onet_title,ghostjob,jobclass,state,n_jobs_postings
"Bookkeeping, Accounting, and Auditing Clerks",f,0,MO,540
"Bookkeeping, Accounting, and Auditing Clerks",f,0,WI,361
"Bookkeeping, Accounting, and Auditing Clerks",f,1,MO,1998
"Bookkeeping, Accounting, and Auditing Clerks",f,1,WI,2848
"Bookkeeping, Accounting, and Auditing Clerks",f,NA,MO,127
"Bookkeeping, Accounting, and Auditing Clerks",f,NA,WI,169
"Bookkeeping, Accounting, and Auditing Clerks",t,0,MO,57
"Bookkeeping, Accounting, and Auditing Clerks",t,0,WI,72
"Bookkeeping, Accounting, and Auditing Clerks",t,1,MO,32
"Bookkeeping, Accounting, and Auditing Clerks",t,1,WI,27
"Bookkeeping, Accounting, and Auditing Clerks",t,2,MO,141
"Bookkeeping, Accounting, and Auditing Clerks",t,2,WI,174
"Bookkeeping, Accounting, and Auditing Clerks",t,NA,MO,13
"Bookkeeping, Accounting, and Auditing Clerks",t,NA,WI,14
"Bookkeeping, Accounting, and Auditing Clerks",NA,NA,MO,4056
"Bookkeeping, Accounting, and Auditing Clerks",NA,NA,WI,6616
Computer Systems Analysts,f,0,MO,431
Computer Systems Analysts,f,0,WI,264
Computer Systems Analysts,f,1,MO,1602
Computer Systems Analysts,f,1,WI,3023
Computer Systems Analysts,f,NA,MO,139
Computer Systems Analysts,f,NA,WI,220
Computer Systems Analysts,t,0,MO,796
Computer Systems Analysts,t,0,WI,657
Computer Systems Analysts,t,1,MO,809
Computer Systems Analysts,t,1,WI,671
Computer Systems Analysts,t,2,MO,1479
Computer Systems Analysts,t,2,WI,1463
Computer Systems Analysts,t,NA,MO,213
Computer Systems Analysts,t,NA,WI,181
Computer Systems Analysts,NA,NA,MO,13110
Computer Systems Analysts,NA,NA,WI,13376
Computer User Support Specialists,f,0,MO,674
Computer User Support Specialists,f,0,WI,587
Computer User Support Specialists,f,1,MO,2505
Computer User Support Specialists,f,1,WI,4949
Computer User Support Specialists,f,NA,MO,233
Computer User Support Specialists,f,NA,WI,354
Computer User Support Specialists,t,0,MO,430
Computer User Support Specialists,t,0,WI,424
Computer User Support Specialists,t,1,MO,318
Computer User Support Specialists,t,1,WI,275
Computer User Support Specialists,t,2,MO,1082
Computer User Support Specialists,t,2,WI,1113
Computer User Support Specialists,t,NA,MO,71
Computer User Support Specialists,t,NA,WI,82
Computer User Support Specialists,NA,NA,MO,10138
Computer User Support Specialists,NA,NA,WI,14432
Industrial Engineers,f,0,MO,859
Industrial Engineers,f,0,WI,1140
Industrial Engineers,f,1,MO,2931
Industrial Engineers,f,1,WI,8246
Industrial Engineers,f,NA,MO,199
Industrial Engineers,f,NA,WI,546
Industrial Engineers,t,0,MO,384
Industrial Engineers,t,0,WI,365
Industrial Engineers,t,1,MO,276
Industrial Engineers,t,1,WI,265
Industrial Engineers,t,2,MO,490
Industrial Engineers,t,2,WI,473
Industrial Engineers,t,NA,MO,82
Industrial Engineers,t,NA,WI,79
Industrial Engineers,NA,NA,MO,8052
Industrial Engineers,NA,NA,WI,17587
Market Research Analysts and Marketing Specialists,f,0,MO,239
Market Research Analysts and Marketing Specialists,f,0,WI,222
Market Research Analysts and Marketing Specialists,f,1,MO,927
Market Research Analysts and Marketing Specialists,f,1,WI,2242
Market Research Analysts and Marketing Specialists,f,NA,MO,66
Market Research Analysts and Marketing Specialists,f,NA,WI,105
Market Research Analysts and Marketing Specialists,t,0,MO,405
Market Research Analysts and Marketing Specialists,t,0,WI,379
Market Research Analysts and Marketing Specialists,t,1,MO,386
Market Research Analysts and Marketing Specialists,t,1,WI,250
Market Research Analysts and Marketing Specialists,t,2,MO,941
