year,Date,skills,vals,state,job_title
2021,2021-03-01,sap,0,MO,Software Developers
2021,2021-03-01,finance,0,MO,Software Developers
2021,2021-03-01,technology,54,MO,Software Developers
2021,2021-03-01,analysis,54,MO,Software Developers
2021,2021-03-01,data,94,MO,Software Developers
2021,2021-03-01,support,74,MO,Software Developers
2021,2021-03-01,process,74,MO,Software Developers
2021,2021-03-01,project,70,MO,Software Developers
2021,2021-03-01,quality,28,MO,Software Developers
2021,2021-03-01,java,2,MO,Software Developers
2023,2023-05-01,sap,0,MO,Software Developers
2023,2023-05-01,finance,0,MO,Software Developers
2023,2023-05-01,technology,44,MO,Software Developers
2023,2023-05-01,analysis,32,MO,Software Developers
2023,2023-05-01,data,98,MO,Software Developers
2023,2023-05-01,support,56,MO,Software Developers
2023,2023-05-01,process,66,MO,Software Developers
2023,2023-05-01,project,62,MO,Software Developers
2023,2023-05-01,quality,20,MO,Software Developers
2023,2023-05-01,java,0,MO,Software Developers
2023,2023-06-01,sap,0,MO,Software Developers
2023,2023-06-01,finance,0,MO,Software Developers
2023,2023-06-01,technology,52,MO,Software Developers
2023,2023-06-01,analysis,118,MO,Software Developers
2023,2023-06-01,data,240,MO,Software Developers
2023,2023-06-01,support,160,MO,Software Developers
2023,2023-06-01,process,172,MO,Software Developers
2023,2023-06-01,project,124,MO,Software Developers
2023,2023-06-01,quality,74,MO,Software Developers
2023,2023-06-01,java,2,MO,Software Developers
2023,2023-07-01,sap,0,MO,Software Developers
2023,2023-07-01,finance,0,MO,Software Developers
2023,2023-07-01,technology,102,MO,Software Developers
2023,2023-07-01,analysis,90,MO,Software Developers
2023,2023-07-01,data,224,MO,Software Developers
2023,2023-07-01,support,186,MO,Software Developers
2023,2023-07-01,process,170,MO,Software Developers
2023,2023-07-01,project,142,MO,Software Developers
2023,2023-07-01,quality,56,MO,Software Developers
2023,2023-07-01,java,12,MO,Software Developers
2023,2023-08-01,sap,0,MO,Software Developers
2023,2023-08-01,finance,0,MO,Software Developers
2023,2023-08-01,technology,80,MO,Software Developers
2023,2023-08-01,analysis,58,MO,Software Developers
2023,2023-08-01,data,208,MO,Software Developers
2023,2023-08-01,support,184,MO,Software Developers
2023,2023-08-01,process,162,MO,Software Developers
2023,2023-08-01,project,120,MO,Software Developers
2023,2023-08-01,quality,70,MO,Software Developers
2023,2023-08-01,java,0,MO,Software Developers
2023,2023-09-01,sap,0,MO,Software Developers
2023,2023-09-01,finance,0,MO,Software Developers
2023,2023-09-01,technology,48,MO,Software Developers
2023,2023-09-01,analysis,38,MO,Software Developers
2023,2023-09-01,data,194,MO,Software Developers
2023,2023-09-01,support,158,MO,Software Developers
2023,2023-09-01,process,164,MO,Software Developers
2023,2023-09-01,project,132,MO,Software Developers
2023,2023-09-01,quality,44,MO,Software Developers
2023,2023-09-01,java,4,MO,Software Developers
2023,2023-10-01,sap,0,MO,Software Developers
2023,2023-10-01,finance,0,MO,Software Developers
2023,2023-10-01,technology,66,MO,Software Developers
2023,2023-10-01,analysis,40,MO,Software Developers
2023,2023-10-01,data,206,MO,Software Developers
2023,2023-10-01,support,122,MO,Software Developers
2023,2023-10-01,process,98,MO,Software Developers
2023,2023-10-01,project,70,MO,Software Developers
2023,2023-10-01,quality,38,MO,Software Developers
2023,2023-10-01,java,2,MO,Software Developers
2023,2023-11-01,sap,0,MO,Software Developers
2023,2023-11-01,finance,0,MO,Software Developers
2023,2023-11-01,technology,16,MO,Software Developers
2023,2023-11-01,analysis,46,MO,Software Developers
2023,2023-11-01,data,222,MO,Software Developers
2023,2023-11-01,support,110,MO,Software Developers
2023,2023-11-01,process,124,MO,Software Developers
2023,2023-11-01,project,96,MO,Software Developers
2023,2023-11-01,quality,48,MO,Software Developers
2023,2023-11-01,java,2,MO,Software Developers
2023,2023-12-01,sap,0,MO,Software Developers
2023,2023-12-01,finance,0,MO,Software Developers
2023,2023-12-01,technology,26,MO,Software Developers
2023,2023-12-01,analysis,24,MO,Software Developers
2023,2023-12-01,data,188,MO,Software Developers
2023,2023-12-01,support,84,MO,Software Developers
2023,2023-12-01,process,50,MO,Software Developers
2023,2023-12-01,project,86,MO,Software Developers
2023,2023-12-01,quality,58,MO,Software Developers
2023,2023-12-01,java,0,MO,Software Developers
2024,2024-01-01,sap,0,MO,Software Developers
2024,2024-01-01,finance,0,MO,Software Developers
2024,2024-01-01,technology,40,MO,Software Developers
2024,2024-01-01,analysis,30,MO,Software Developers
2024,2024-01-01,data,156,MO,Software Developers
2024,2024-01-01,support,72,MO,Software Developers
2024,2024-01-01,process,88,MO,Software Developers
2024,2024-01-01,project,56,MO,Software Developers
2024,2024-01-01,quality,62,MO,Software Developers
2024,2024-01-01,java,0,MO,Software Developers
2024,2024-02-01,sap,0,MO,Software Developers
2024,2024-02-01,finance,0,MO,Software Developers
2024,2024-02-01,technology,34,MO,Software Developers
2024,2024-02-01,analysis,30,MO,Software Developers
2024,2024-02-01,data,174,MO,Software Developers
2024,2024-02-01,support,138,MO,Software Developers
2024,2024-02-01,process,62,MO,Software Developers
2024,2024-02-01,project,64,MO,Software Developers
2024,2024-02-01,quality,52,MO,Software Developers
2024,2024-02-01,java,0,MO,Software Developers
2024,2024-03-01,sap,0,MO,Software Developers
2024,2024-03-01,finance,0,MO,Software Developers
2024,2024-03-01,technology,48,MO,Software Developers
2024,2024-03-01,analysis,26,MO,Software Developers
2024,2024-03-01,data,192,MO,Software Developers
2024,2024-03-01,support,116,MO,Software Developers
2024,2024-03-01,process,66,MO,Software Developers
2024,2024-03-01,project,46,MO,Software Developers
2024,2024-03-01,quality,58,MO,Software Developers
2024,2024-03-01,java,0,MO,Software Developers
2024,2024-04-01,sap,0,MO,Software Developers
2024,2024-04-01,finance,0,MO,Software Developers
2024,2024-04-01,technology,58,MO,Software Developers
2024,2024-04-01,analysis,64,MO,Software Developers
2024,2024-04-01,data,194,MO,Software Developers
2024,2024-04-01,support,148,MO,Software Developers
2024,2024-04-01,process,108,MO,Software Developers
2024,2024-04-01,project,70,MO,Software Developers
2024,2024-04-01,quality,48,MO,Software Developers
2024,2024-04-01,java,0,MO,Software Developers
2024,2024-05-01,sap,0,MO,Software Developers
2024,2024-05-01,finance,0,MO,Software Developers
2024,2024-05-01,technology,60,MO,Software Developers
2024,2024-05-01,analysis,48,MO,Software Developers
2024,2024-05-01,data,190,MO,Software Developers
2024,2024-05-01,support,112,MO,Software Developers
2024,2024-05-01,process,156,MO,Software Developers
2024,2024-05-01,project,76,MO,Software Developers
2024,2024-05-01,quality,56,MO,Software Developers
2024,2024-05-01,java,0,MO,Software Developers
2024,2024-06-01,sap,0,MO,Software Developers
2024,2024-06-01,finance,2,MO,Software Developers
2024,2024-06-01,technology,32,MO,Software Developers
2024,2024-06-01,analysis,38,MO,Software Developers
2024,2024-06-01,data,186,MO,Software Developers
2024,2024-06-01,support,72,MO,Software Developers
2024,2024-06-01,process,100,MO,Software Developers
2024,2024-06-01,project,46,MO,Software Developers
2024,2024-06-01,quality,30,MO,Software Developers
2024,2024-06-01,java,0,MO,Software Developers
2024,2024-07-01,sap,0,MO,Software Developers
2024,2024-07-01,finance,0,MO,Software Developers
2024,2024-07-01,technology,34,MO,Software Developers
2024,2024-07-01,analysis,42,MO,Software Developers
2024,2024-07-01,data,158,MO,Software Developers
2024,2024-07-01,support,132,MO,Software Developers
2024,2024-07-01,process,104,MO,Software Developers
2024,2024-07-01,project,100,MO,Software Developers
2024,2024-07-01,quality,76,MO,Software Developers
2024,2024-07-01,java,0,MO,Software Developers
2024,2024-08-01,sap,0,MO,Software Developers
2024,2024-08-01,finance,0,MO,Software Developers
2024,2024-08-01,technology,32,MO,Software Developers
2024,2024-08-01,analysis,36,MO,Software Developers
2024,2024-08-01,data,150,MO,Software Developers
2024,2024-08-01,support,124,MO,Software Developers
2024,2024-08-01,process,56,MO,Software Developers
2024,2024-08-01,project,48,MO,Software Developers
2024,2024-08-01,quality,36,MO,Software Developers
2024,2024-08-01,java,0,MO,Software Developers
2024,2024-09-01,sap,0,MO,Software Developers
2024,2024-09-01,finance,0,MO,Software Developers
2024,2024-09-01,technology,30,MO,Software Developers
2024,2024-09-01,analysis,28,MO,Software Developers
2024,2024-09-01,data,126,MO,Software Developers
2024,2024-09-01,support,82,MO,Software Developers
2024,2024-09-01,process,96,MO,Software Developers
2024,2024-09-01,project,48,MO,Software Developers
2024,2024-09-01,quality,40,MO,Software Developers
2024,2024-09-01,java,2,MO,Software Developers
2024,2024-10-01,sap,0,MO,Software Developers
2024,2024-10-01,finance,0,MO,Software Developers
2024,2024-10-01,technology,46,MO,Software Developers
2024,2024-10-01,analysis,12,MO,Software Developers
2024,2024-10-01,data,168,MO,Software Developers
2024,2024-10-01,support,104,MO,Software Developers
2024,2024-10-01,process,90,MO,Software Developers
2024,2024-10-01,project,66,MO,Software Developers
2024,2024-10-01,quality,46,MO,Software Developers
2024,2024-10-01,java,0,MO,Software Developers
2024,2024-11-01,sap,0,MO,Software Developers
2024,2024-11-01,finance,0,MO,Software Developers
2024,2024-11-01,technology,26,MO,Software Developers
2024,2024-11-01,analysis,24,MO,Software Developers
2024,2024-11-01,data,122,MO,Software Developers
2024,2024-11-01,support,114,MO,Software Developers
2024,2024-11-01,process,86,MO,Software Developers
2024,2024-11-01,project,54,MO,Software Developers
2024,2024-11-01,quality,40,MO,Software Developers
2024,2024-11-01,java,0,MO,Software Developers
2024,2024-12-01,sap,0,MO,Software Developers
2024,2024-12-01,finance,0,MO,Software Developers
2024,2024-12-01,technology,40,MO,Software Developers
2024,2024-12-01,analysis,20,MO,Software Developers
2024,2024-12-01,data,158,MO,Software Developers
2024,2024-12-01,support,108,MO,Software Developers
2024,2024-12-01,process,64,MO,Software Developers
2024,2024-12-01,project,44,MO,Software Developers
2024,2024-12-01,quality,34,MO,Software Developers
