year,Date,skills,vals,state,job_title
2023,2023-05-01,carpentry,0,MO,Carpenters
2023,2023-05-01,detail,0,MO,Carpenters
2023,2023-05-01,tape,1,MO,Carpenters
2023,2023-05-01,project,1,MO,Carpenters
2023,2023-05-01,forklift,0,MO,Carpenters
2023,2023-05-01,teamwork,0,MO,Carpenters
2023,2023-05-01,framer,0,MO,Carpenters
2023,2023-05-01,order,0,MO,Carpenters
2023,2023-05-01,access,0,MO,Carpenters
2023,2023-05-01,excel,0,MO,Carpenters
2023,2023-06-01,carpentry,4,MO,Carpenters
2023,2023-06-01,detail,0,MO,Carpenters
2023,2023-06-01,tape,1,MO,Carpenters
2023,2023-06-01,project,0,MO,Carpenters
2023,2023-06-01,forklift,0,MO,Carpenters
2023,2023-06-01,teamwork,0,MO,Carpenters
2023,2023-06-01,framer,0,MO,Carpenters
2023,2023-06-01,order,0,MO,Carpenters
2023,2023-06-01,access,0,MO,Carpenters
2023,2023-06-01,excel,0,MO,Carpenters
2023,2023-07-01,carpentry,0,MO,Carpenters
2023,2023-07-01,detail,0,MO,Carpenters
2023,2023-07-01,tape,0,MO,Carpenters
2023,2023-07-01,project,0,MO,Carpenters
2023,2023-07-01,forklift,0,MO,Carpenters
2023,2023-07-01,teamwork,0,MO,Carpenters
2023,2023-07-01,framer,0,MO,Carpenters
2023,2023-07-01,order,0,MO,Carpenters
2023,2023-07-01,access,0,MO,Carpenters
2023,2023-07-01,excel,0,MO,Carpenters
2023,2023-08-01,carpentry,0,MO,Carpenters
2023,2023-08-01,detail,0,MO,Carpenters
2023,2023-08-01,tape,0,MO,Carpenters
2023,2023-08-01,project,0,MO,Carpenters
2023,2023-08-01,forklift,0,MO,Carpenters
2023,2023-08-01,teamwork,0,MO,Carpenters
2023,2023-08-01,framer,0,MO,Carpenters
2023,2023-08-01,order,0,MO,Carpenters
2023,2023-08-01,access,0,MO,Carpenters
2023,2023-08-01,excel,0,MO,Carpenters
2023,2023-09-01,carpentry,1,MO,Carpenters
2023,2023-09-01,detail,0,MO,Carpenters
2023,2023-09-01,tape,0,MO,Carpenters
2023,2023-09-01,project,0,MO,Carpenters
2023,2023-09-01,forklift,0,MO,Carpenters
2023,2023-09-01,teamwork,0,MO,Carpenters
2023,2023-09-01,framer,0,MO,Carpenters
2023,2023-09-01,order,0,MO,Carpenters
2023,2023-09-01,access,0,MO,Carpenters
2023,2023-09-01,excel,0,MO,Carpenters
2023,2023-10-01,carpentry,3,MO,Carpenters
2023,2023-10-01,detail,0,MO,Carpenters
2023,2023-10-01,tape,2,MO,Carpenters
2023,2023-10-01,project,0,MO,Carpenters
2023,2023-10-01,forklift,0,MO,Carpenters
2023,2023-10-01,teamwork,0,MO,Carpenters
2023,2023-10-01,framer,0,MO,Carpenters
2023,2023-10-01,order,0,MO,Carpenters
2023,2023-10-01,access,0,MO,Carpenters
2023,2023-10-01,excel,0,MO,Carpenters
2023,2023-11-01,carpentry,3,MO,Carpenters
2023,2023-11-01,detail,0,MO,Carpenters
2023,2023-11-01,tape,0,MO,Carpenters
2023,2023-11-01,project,0,MO,Carpenters
2023,2023-11-01,forklift,0,MO,Carpenters
2023,2023-11-01,teamwork,0,MO,Carpenters
2023,2023-11-01,framer,0,MO,Carpenters
2023,2023-11-01,order,0,MO,Carpenters
2023,2023-11-01,access,0,MO,Carpenters
2023,2023-11-01,excel,0,MO,Carpenters
2023,2023-12-01,carpentry,3,MO,Carpenters
2023,2023-12-01,detail,0,MO,Carpenters
2023,2023-12-01,tape,0,MO,Carpenters
2023,2023-12-01,project,0,MO,Carpenters
2023,2023-12-01,forklift,0,MO,Carpenters
2023,2023-12-01,teamwork,0,MO,Carpenters
2023,2023-12-01,framer,0,MO,Carpenters
2023,2023-12-01,order,0,MO,Carpenters
2023,2023-12-01,access,0,MO,Carpenters
2023,2023-12-01,excel,0,MO,Carpenters
2024,2024-01-01,carpentry,2,MO,Carpenters
